ObservationLocation                    ,ObservationCode,ObservationURL,ObservationState
Nenana Municipal Airport (PANN),PANN,http://w1.weather.gov/xml/current_obs/display.php?stid=PANN,AK
New Stuyahok (PANW),PANW,http://w1.weather.gov/xml/current_obs/display.php?stid=PANW,AK
Nikolai (PAFS),PAFS,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFS,AK
Nome Nome Airport (PAOM),PAOM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOM,AK
Noorvik (PFNO),PFNO,http://w1.weather.gov/xml/current_obs/display.php?stid=PFNO,AK
Northway Northway Airport (PAOR),PAOR,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOR,AK
Nuiqsut Nuiqsut Airport (PAQT),PAQT,http://w1.weather.gov/xml/current_obs/display.php?stid=PAQT,AK
Nunapitchuk Airport (PPIT),PPIT,http://w1.weather.gov/xml/current_obs/display.php?stid=PPIT,AK
Palmer Palmer Municipal Airport (PAAQ),PAAQ,http://w1.weather.gov/xml/current_obs/display.php?stid=PAAQ,AK
Petersburg (PAPG),PAPG,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPG,AK
Platinum (PAPM),PAPM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPM,AK
Point Hope Point Hope Airport (PAPO),PAPO,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPO,AK
Point Lay Point Lay LRRS Airport (PPIZ),PPIZ,http://w1.weather.gov/xml/current_obs/display.php?stid=PPIZ,AK
Point Thomson Airstrip (PAAD),PAAD,http://w1.weather.gov/xml/current_obs/display.php?stid=PAAD,AK
Port Alsworth Port Alsworth Airport (PALJ),PALJ,http://w1.weather.gov/xml/current_obs/display.php?stid=PALJ,AK
Port Heiden Port Heiden Airport (PAPH),PAPH,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPH,AK
Portage Portage Glacier (PATO),PATO,http://w1.weather.gov/xml/current_obs/display.php?stid=PATO,AK
Puntilla (PAPT),PAPT,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPT,AK
Quinhagak Airport (PAQH),PAQH,http://w1.weather.gov/xml/current_obs/display.php?stid=PAQH,AK
Ralph Wien Memorial Airport (PAOT),PAOT,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOT,AK
Ruby (PARY),PARY,http://w1.weather.gov/xml/current_obs/display.php?stid=PARY,AK
Russian Mission (PARS),PARS,http://w1.weather.gov/xml/current_obs/display.php?stid=PARS,AK
Sand Point (PASD),PASD,http://w1.weather.gov/xml/current_obs/display.php?stid=PASD,AK
Savoonga Airport (PASA),PASA,http://w1.weather.gov/xml/current_obs/display.php?stid=PASA,AK
Scammon Bay (PACM),PACM,http://w1.weather.gov/xml/current_obs/display.php?stid=PACM,AK
Selawik (PASK),PASK,http://w1.weather.gov/xml/current_obs/display.php?stid=PASK,AK
Seldovia Seldovia Airport (PASO),PASO,http://w1.weather.gov/xml/current_obs/display.php?stid=PASO,AK
Seward (PAWD),PAWD,http://w1.weather.gov/xml/current_obs/display.php?stid=PAWD,AK
Shageluk Airport (PAHX),PAHX,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHX,AK
Shaktoolik Airport (PFSH),PFSH,http://w1.weather.gov/xml/current_obs/display.php?stid=PFSH,AK
Shemya Eareckson AFB (PASY),PASY,http://w1.weather.gov/xml/current_obs/display.php?stid=PASY,AK
Shishmaref Shishmaref Airport (PASH),PASH,http://w1.weather.gov/xml/current_obs/display.php?stid=PASH,AK
Shungnak Airport (PAGH),PAGH,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGH,AK
Sitka - Sitka Airport (PASI),PASI,http://w1.weather.gov/xml/current_obs/display.php?stid=PASI,AK
Skagway (PAGY),PAGY,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGY,AK
Sleetmute (PASL),PASL,http://w1.weather.gov/xml/current_obs/display.php?stid=PASL,AK
Soldotna (PASX),PASX,http://w1.weather.gov/xml/current_obs/display.php?stid=PASX,AK
South Naknek Nr 2 Airport (PFWS),PFWS,http://w1.weather.gov/xml/current_obs/display.php?stid=PFWS,AK
St Michael (PAMK),PAMK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMK,AK
St. George St. George Airport (PAPB),PAPB,http://w1.weather.gov/xml/current_obs/display.php?stid=PAPB,AK
St. Mary's St. Mary's Airport (PASM),PASM,http://w1.weather.gov/xml/current_obs/display.php?stid=PASM,AK
St. Paul Island St. Paul Island Airport (PASN),PASN,http://w1.weather.gov/xml/current_obs/display.php?stid=PASN,AK
Talkeetna Talkeetna Airport (PATK),PATK,http://w1.weather.gov/xml/current_obs/display.php?stid=PATK,AK
Tanana Calhoun Memorial Airport (PATA),PATA,http://w1.weather.gov/xml/current_obs/display.php?stid=PATA,AK
Teller (PATE),PATE,http://w1.weather.gov/xml/current_obs/display.php?stid=PATE,AK
Togiac Village Togiak Airport (PATG),PATG,http://w1.weather.gov/xml/current_obs/display.php?stid=PATG,AK
Toksook Bay (PAOO),PAOO,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOO,AK
Unalakleet (PAUN),PAUN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAUN,AK
Unalaska Unalaska Airport (PADU),PADU,http://w1.weather.gov/xml/current_obs/display.php?stid=PADU,AK
Valdez 2 (PAVD),PAVD,http://w1.weather.gov/xml/current_obs/display.php?stid=PAVD,AK
Wainwright Wainwright Airport (PAWI),PAWI,http://w1.weather.gov/xml/current_obs/display.php?stid=PAWI,AK
Wales (PAIW),PAIW,http://w1.weather.gov/xml/current_obs/display.php?stid=PAIW,AK
Wasilla Wasilla Airport (PAWS),PAWS,http://w1.weather.gov/xml/current_obs/display.php?stid=PAWS,AK
Wrangell (PAWG),PAWG,http://w1.weather.gov/xml/current_obs/display.php?stid=PAWG,AK
Yakutat (PAYA),PAYA,http://w1.weather.gov/xml/current_obs/display.php?stid=PAYA,AK
Alabaster Shelby County Airport (KEET),KEET,http://w1.weather.gov/xml/current_obs/display.php?stid=KEET,AL
Albertville Albertville Municipal Airport (K8A0),K8A0,http://w1.weather.gov/xml/current_obs/display.php?stid=K8A0,AL
Alexander City Thomas C Russell Field Airport (KALX),KALX,http://w1.weather.gov/xml/current_obs/display.php?stid=KALX,AL
Andalusia Andalusia-Opp Municipal Airport (K79J),K79J,http://w1.weather.gov/xml/current_obs/display.php?stid=K79J,AL
Anniston Metro Airport (KANB),KANB,http://w1.weather.gov/xml/current_obs/display.php?stid=KANB,AL
Auburn-Opelika Airport (KAUO),KAUO,http://w1.weather.gov/xml/current_obs/display.php?stid=KAUO,AL
Bessemer Airport (KEKY),KEKY,http://w1.weather.gov/xml/current_obs/display.php?stid=KEKY,AL
Birmingham Birmingham International Airport (KBHM),KBHM,http://w1.weather.gov/xml/current_obs/display.php?stid=KBHM,AL
Cairns Army Air Field / Ozark (KOZR),KOZR,http://w1.weather.gov/xml/current_obs/display.php?stid=KOZR,AL
Craig Field / Selma (KSEM),KSEM,http://w1.weather.gov/xml/current_obs/display.php?stid=KSEM,AL
Cullman Regional Folsom Field (KCMD),KCMD,http://w1.weather.gov/xml/current_obs/display.php?stid=KCMD,AL
Decatur Pryor Field (KDCU),KDCU,http://w1.weather.gov/xml/current_obs/display.php?stid=KDCU,AL
Demopolis Municipal Airport (KDYA),KDYA,http://w1.weather.gov/xml/current_obs/display.php?stid=KDYA,AL
Dothan Dothan Regional Airport (KDHN),KDHN,http://w1.weather.gov/xml/current_obs/display.php?stid=KDHN,AL
Enterprise Municipal Airport (KEDN),KEDN,http://w1.weather.gov/xml/current_obs/display.php?stid=KEDN,AL
Eufaula Municipal Airport (KEUF),KEUF,http://w1.weather.gov/xml/current_obs/display.php?stid=KEUF,AL
Evergreen Middleton Field (KGZH),KGZH,http://w1.weather.gov/xml/current_obs/display.php?stid=KGZH,AL
Florala Florala Municipal Airport (K0J4),K0J4,http://w1.weather.gov/xml/current_obs/display.php?stid=K0J4,AL
Fort Payne Isbell Field Airport (K4A9),K4A9,http://w1.weather.gov/xml/current_obs/display.php?stid=K4A9,AL
Fort Rucker Lowe Army Heliport (KLOR),KLOR,http://w1.weather.gov/xml/current_obs/display.php?stid=KLOR,AL
Gadsden Gadsden Municipal Airport (KGAD),KGAD,http://w1.weather.gov/xml/current_obs/display.php?stid=KGAD,AL
Haleyville Posey Field Airport (K1M4),K1M4,http://w1.weather.gov/xml/current_obs/display.php?stid=K1M4,AL
Hanchey AHP / Ozark (KHEY),KHEY,http://w1.weather.gov/xml/current_obs/display.php?stid=KHEY,AL
Huntsville Huntsville International / Jones Field (KHSV),KHSV,http://w1.weather.gov/xml/current_obs/display.php?stid=KHSV,AL
Huntsville Madison County Executive Airport (KMDQ),KMDQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMDQ,AL
Jack Edwards Airport (KJKA),KJKA,http://w1.weather.gov/xml/current_obs/display.php?stid=KJKA,AL
Jasper Walker County Airport & Bevill Field (KJFX),KJFX,http://w1.weather.gov/xml/current_obs/display.php?stid=KJFX,AL
Mac Crenshaw Memorial Airport (KPRN),KPRN,http://w1.weather.gov/xml/current_obs/display.php?stid=KPRN,AL
Maxwell Air Force Base / Montgomery (KMXF),KMXF,http://w1.weather.gov/xml/current_obs/display.php?stid=KMXF,AL
Merkel Field Sylacauga Municipal Airport (KSCD),KSCD,http://w1.weather.gov/xml/current_obs/display.php?stid=KSCD,AL
Mobile Mobile Downtown Airport (KBFM),KBFM,http://w1.weather.gov/xml/current_obs/display.php?stid=KBFM,AL
Mobile Mobile Regional Airport (KMOB),KMOB,http://w1.weather.gov/xml/current_obs/display.php?stid=KMOB,AL
Montgomery Dannelly Field (KMGM),KMGM,http://w1.weather.gov/xml/current_obs/display.php?stid=KMGM,AL
Muscle Shoals North West Alabama Regional Airport (KMSL),KMSL,http://w1.weather.gov/xml/current_obs/display.php?stid=KMSL,AL
Prattville - Grouby Field (K1A9),K1A9,http://w1.weather.gov/xml/current_obs/display.php?stid=K1A9,AL
Redstone Airfield (KHUA),KHUA,http://w1.weather.gov/xml/current_obs/display.php?stid=KHUA,AL
SCHELL AHP (KSXS),KSXS,http://w1.weather.gov/xml/current_obs/display.php?stid=KSXS,AL
Scottsboro Municipal Airport (K4A6),K4A6,http://w1.weather.gov/xml/current_obs/display.php?stid=K4A6,AL
Sonny Callahan Airport (KCQF),KCQF,http://w1.weather.gov/xml/current_obs/display.php?stid=KCQF,AL
St Clair County Airport (KPLR),KPLR,http://w1.weather.gov/xml/current_obs/display.php?stid=KPLR,AL
Talladega Municipal Airport (KASN),KASN,http://w1.weather.gov/xml/current_obs/display.php?stid=KASN,AL
Troy Troy Municipal Airport (KTOI),KTOI,http://w1.weather.gov/xml/current_obs/display.php?stid=KTOI,AL
Tuscaloosa Regional Airport (KTCL),KTCL,http://w1.weather.gov/xml/current_obs/display.php?stid=KTCL,AL
Vaiden Fld Airport (KA08),KA08,http://w1.weather.gov/xml/current_obs/display.php?stid=KA08,AL
Batesville Batesville Regional Airport (KBVX),KBVX,http://w1.weather.gov/xml/current_obs/display.php?stid=KBVX,AR
"Bentonville, Bentonville Municipal Airport/Louise M Thaden Field (KVBT)",KVBT,http://w1.weather.gov/xml/current_obs/display.php?stid=KVBT,AR
"Blytheville, Blytheville Municipal Airport (KHKA)",KHKA,http://w1.weather.gov/xml/current_obs/display.php?stid=KHKA,AR
Camden / Harrell Field (KCDH),KCDH,http://w1.weather.gov/xml/current_obs/display.php?stid=KCDH,AR
Clinton Memorial Airfield (KCCA),KCCA,http://w1.weather.gov/xml/current_obs/display.php?stid=KCCA,AR
Conway - Cantrell Feild (KCXW),KCXW,http://w1.weather.gov/xml/current_obs/display.php?stid=KCXW,AR
Corning Municipal Airport (K4M9),K4M9,http://w1.weather.gov/xml/current_obs/display.php?stid=K4M9,AR
"De Queen, J Lynn Helms Sevier County Airport (KDEQ)",KDEQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KDEQ,AR
Dexter B Florence Memorial Field (KADF),KADF,http://w1.weather.gov/xml/current_obs/display.php?stid=KADF,AR
Eaker Air Force Base (KBYH),KBYH,http://w1.weather.gov/xml/current_obs/display.php?stid=KBYH,AR
"Fayetteville, Drake Field (KFYV)",KFYV,http://w1.weather.gov/xml/current_obs/display.php?stid=KFYV,AR
"Flippin, Marion County Regional Airport (KFLP)",KFLP,http://w1.weather.gov/xml/current_obs/display.php?stid=KFLP,AR
Fort Smith Regional Airport (KFSM),KFSM,http://w1.weather.gov/xml/current_obs/display.php?stid=KFSM,AR
"Harrison, Boone County Airport (KHRO)",KHRO,http://w1.weather.gov/xml/current_obs/display.php?stid=KHRO,AR
"Hot Springs, Memorial Field Airport (KHOT)",KHOT,http://w1.weather.gov/xml/current_obs/display.php?stid=KHOT,AR
"Jonesboro, Jonesboro Municipal Airport (KJBR)",KJBR,http://w1.weather.gov/xml/current_obs/display.php?stid=KJBR,AR
Little Rock Air Force Base (KLRF),KLRF,http://w1.weather.gov/xml/current_obs/display.php?stid=KLRF,AR
"Little Rock, Adams Field (KLIT)",KLIT,http://w1.weather.gov/xml/current_obs/display.php?stid=KLIT,AR
"Mena, Mena Intermountain Municipal Airport (KMEZ)",KMEZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KMEZ,AR
"Monticello, Monticello Municipal Airport/Ellis Field (KLLQ)",KLLQ,http://w1.weather.gov/xml/current_obs/display.php?stid=KLLQ,AR
Mount Ida (KMWT),KMWT,http://w1.weather.gov/xml/current_obs/display.php?stid=KMWT,AR
"Mountain Home, Baxter County Regional Airport (KBPK)",KBPK,http://w1.weather.gov/xml/current_obs/display.php?stid=KBPK,AR
"Newport, Newport Municipal Airport (KM19)",KM19,http://w1.weather.gov/xml/current_obs/display.php?stid=KM19,AR
Northwest Arkansas Regional Airport (KXNA),KXNA,http://w1.weather.gov/xml/current_obs/display.php?stid=KXNA,AR
"Pine Bluff, Grider Field Airport (KPBF)",KPBF,http://w1.weather.gov/xml/current_obs/display.php?stid=KPBF,AR
Rogers - Rogers Executive Airport - Carter Field (KROG),KROG,http://w1.weather.gov/xml/current_obs/display.php?stid=KROG,AR
Russelville Municipal Airport (KRUE),KRUE,http://w1.weather.gov/xml/current_obs/display.php?stid=KRUE,AR
Searcy Municipal Airport (KSRC),KSRC,http://w1.weather.gov/xml/current_obs/display.php?stid=KSRC,AR
"Siloam Springs, Smith Field Airport (KSLG)",KSLG,http://w1.weather.gov/xml/current_obs/display.php?stid=KSLG,AR
South Arkansas Regional Airport (KELD),KELD,http://w1.weather.gov/xml/current_obs/display.php?stid=KELD,AR
Springdale Municipal (KASG),KASG,http://w1.weather.gov/xml/current_obs/display.php?stid=KASG,AR
"Texarkana, Texarkana Regional-Webb Field (KTXK)",KTXK,http://w1.weather.gov/xml/current_obs/display.php?stid=KTXK,AR
Walnut Ridge Regional Airport (KARG),KARG,http://w1.weather.gov/xml/current_obs/display.php?stid=KARG,AR
"West Memphis, West Memphis Municipal Airport (KAWM)",KAWM,http://w1.weather.gov/xml/current_obs/display.php?stid=KAWM,AR
"Pago Pago, AS, Samoa (NSTU)",NSTU,http://w1.weather.gov/xml/current_obs/display.php?stid=NSTU,AS
Ak-Chin Regional Airport (KA39),KA39,http://w1.weather.gov/xml/current_obs/display.php?stid=KA39,AZ
Bisbee Douglas International Airport (KDUG),KDUG,http://w1.weather.gov/xml/current_obs/display.php?stid=KDUG,AZ
Buckeye Municipal Airport (KBXK),KBXK,http://w1.weather.gov/xml/current_obs/display.php?stid=KBXK,AZ
"Bullhead City, Laughlin/Bullhead International Airport (KIFP)",KIFP,http://w1.weather.gov/xml/current_obs/display.php?stid=KIFP,AZ
"Casa Grande, Casa Grande Municipal Airport (KCGZ)",KCGZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KCGZ,AZ
"Chandler, Chandler Municipal Airport (KCHD)",KCHD,http://w1.weather.gov/xml/current_obs/display.php?stid=KCHD,AZ
"Colorado City, Colorado City Municipal Airport (KAZC)",KAZC,http://w1.weather.gov/xml/current_obs/display.php?stid=KAZC,AZ
Davis-Monthan Air Force Base (KDMA),KDMA,http://w1.weather.gov/xml/current_obs/display.php?stid=KDMA,AZ
Flagstaff Pulliam Airport (KFLG),KFLG,http://w1.weather.gov/xml/current_obs/display.php?stid=KFLG,AZ
"Fort Huachuca, Libby AAF Ft Huachuca (KFHU)",KFHU,http://w1.weather.gov/xml/current_obs/display.php?stid=KFHU,AZ
Gila Bend Air Force Auxiliary Field (KGXF),KGXF,http://w1.weather.gov/xml/current_obs/display.php?stid=KGXF,AZ
"Glendale, Glendale Municipal Airport (KGEU)",KGEU,http://w1.weather.gov/xml/current_obs/display.php?stid=KGEU,AZ
Goodyear Municipal (KGYR),KGYR,http://w1.weather.gov/xml/current_obs/display.php?stid=KGYR,AZ
Grand Canyon National Park Airport (KGCN),KGCN,http://w1.weather.gov/xml/current_obs/display.php?stid=KGCN,AZ
Havasu City Airport (KHII),KHII,http://w1.weather.gov/xml/current_obs/display.php?stid=KHII,AZ
"Kingman, Kingman Airport (KIGM)",KIGM,http://w1.weather.gov/xml/current_obs/display.php?stid=KIGM,AZ
Luke Air Force Base / Phoenix (KLUF),KLUF,http://w1.weather.gov/xml/current_obs/display.php?stid=KLUF,AZ
Mesa / Falcon Field (KFFZ),KFFZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KFFZ,AZ
"Nogales, Nogales International Airport (KOLS)",KOLS,http://w1.weather.gov/xml/current_obs/display.php?stid=KOLS,AZ
"Page, Page Municipal Airport (KPGA)",KPGA,http://w1.weather.gov/xml/current_obs/display.php?stid=KPGA,AZ
Payson Airport (KPAN),KPAN,http://w1.weather.gov/xml/current_obs/display.php?stid=KPAN,AZ
"Phoenix, Phoenix Sky Harbor International Airport (KPHX)",KPHX,http://w1.weather.gov/xml/current_obs/display.php?stid=KPHX,AZ
"Phoenix, Phoenix-Deer Valley Municipal Airport (KDVT)",KDVT,http://w1.weather.gov/xml/current_obs/display.php?stid=KDVT,AZ
Phoenix-Mesa Gateway Airport (KIWA),KIWA,http://w1.weather.gov/xml/current_obs/display.php?stid=KIWA,AZ
Pioneer Airfield (KALK),KALK,http://w1.weather.gov/xml/current_obs/display.php?stid=KALK,AZ
"Prescott, Love Field (KPRC)",KPRC,http://w1.weather.gov/xml/current_obs/display.php?stid=KPRC,AZ
"Safford, Safford Municipal Airport (KSAD)",KSAD,http://w1.weather.gov/xml/current_obs/display.php?stid=KSAD,AZ
Scottsdale Airport (KSDL),KSDL,http://w1.weather.gov/xml/current_obs/display.php?stid=KSDL,AZ
Sedona Airport (KSEZ),KSEZ,http://w1.weather.gov/xml/current_obs/display.php?stid=KSEZ,AZ
